bin,bin_lower,bin_upper,bin_midpoint,n,mean_predicted,mean_observed,bin_type,split
1,0,0.1,0.05,1328886,0.0035877929186755465,0.0034118803268342233,equal_width,test_platt_scaled
2,0.1,0.2,0.15000000000000002,4442,0.13474354697899005,0.1328230526789733,equal_width,test_platt_scaled
3,0.2,0.30000000000000004,0.25,692,0.23546256637837232,0.25,equal_width,test_platt_scaled
4,0.30000000000000004,0.4,0.35000000000000003,115,0.342302875323631,0.3565217391304348,equal_width,test_platt_scaled
5,0.4,0.5,0.45,16,0.4297809380914881,0.75,equal_width,test_platt_scaled
6,0.5,0.6000000000000001,0.55,0,0.55,NA,equal_width,test_platt_scaled
7,0.6000000000000001,0.7000000000000001,0.6500000000000001,0,0.6500000000000001,NA,equal_width,test_platt_scaled
8,0.7000000000000001,0.8,0.75,0,0.75,NA,equal_width,test_platt_scaled
9,0.8,0.9,0.8500000000000001,0,0.8500000000000001,NA,equal_width,test_platt_scaled
10,0.9,1,0.95,0,0.95,NA,equal_width,test_platt_scaled
