bin,bin_lower,bin_upper,bin_midpoint,n,mean_predicted,mean_observed,bin_type,split
1,0,0.1,0.05,1329672,0.0034657434289051643,0.003508384022515406,equal_width,test_platt_scaled
2,0.1,0.2,0.15000000000000002,3786,0.13557189827605406,0.1376122556788162,equal_width,test_platt_scaled
3,0.2,0.30000000000000004,0.25,627,0.2343517228860624,0.22328548644338111,equal_width,test_platt_scaled
4,0.30000000000000004,0.4,0.35000000000000003,66,0.33050477727754096,0.36363636363636365,equal_width,test_platt_scaled
5,0.4,0.5,0.45,0,0.45,NA,equal_width,test_platt_scaled
6,0.5,0.6000000000000001,0.55,0,0.55,NA,equal_width,test_platt_scaled
7,0.6000000000000001,0.7000000000000001,0.6500000000000001,0,0.6500000000000001,NA,equal_width,test_platt_scaled
8,0.7000000000000001,0.8,0.75,0,0.75,NA,equal_width,test_platt_scaled
9,0.8,0.9,0.8500000000000001,0,0.8500000000000001,NA,equal_width,test_platt_scaled
10,0.9,1,0.95,0,0.95,NA,equal_width,test_platt_scaled
